timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
282186709,0.3649916,0.15309563,0.19070637
282209638,0.36200902,0.15309563,0.19070637
282231972,0.3649916,0.15309563,0.18757685
282255903,0.3649916,0.15017003,0.19383587
282279903,0.3649916,0.15017003,0.19070637
282303874,0.3649916,0.14724444,0.19070637
282325640,0.36200902,0.15017003,0.19070637
282348366,0.36200902,0.14724444,0.18757685
282369723,0.36200902,0.14724444,0.18131782
282392639,0.3649916,0.14724444,0.19383587
282415839,0.36200902,0.14139324,0.19070637
282439862,0.3649916,0.13554205,0.18757685
282463884,0.36200902,0.13261646,0.20009491
282487848,0.3649916,0.12676525,0.20322442
282509686,0.36200902,0.120914064,0.20635393
282532724,0.35902646,0.11506287,0.21574245
282553728,0.35902646,0.11213728,0.21887198
282576648,0.35902646,0.10628608,0.22826052
282597639,0.35306135,0.10336048,0.23451954
282620322,0.3500788,0.100434884,0.23451954
282642677,0.3500788,0.097509295,0.24077857
282665687,0.34709623,0.0945837,0.24390809
282687923,0.34709623,0.0945837,0.24703759
282711901,0.34113112,0.0945837,0.2501671
282735893,0.33516604,0.0945837,0.25955567
282759959,0.32025322,0.100434884,0.27207372
282783894,0.30534047,0.100434884,0.28459176
282805694,0.28446257,0.10921168,0.30336884
282829145,0.2606021,0.11506287,0.3190164
282851639,0.24270676,0.12676525,0.3377935
282875641,0.22182886,0.13261646,0.3440525
282899653,0.20691608,0.13554205,0.35657057
282923687,0.19498585,0.14139324,0.35970008
282946677,0.18902074,0.14139324,0.35970008
282968720,0.18305562,0.13846765,0.36908862
282989656,0.18305562,0.13846765,0.3628296
283011649,0.18603818,0.13554205,0.37221813
283034721,0.18603818,0.13261646,0.37221813
283056646,0.18305562,0.12969086,0.37221813
283078676,0.18305562,0.12676525,0.37221813
283099687,0.18305562,0.12383967,0.3753476
283122647,0.18603818,0.12383967,0.37221813
283145695,0.18902074,0.12383967,0.37221813
283169692,0.1920033,0.120914064,0.36908862
283191712,0.19796841,0.120914064,0.36595908
283214646,0.20691608,0.12383967,0.35970008
283237255,0.2188463,0.120914064,0.35657057
283259642,0.23375909,0.11798847,0.35657057
283282641,0.24568932,0.11506287,0.34092298
283304645,0.26358467,0.11506287,0.3190164
283326646,0.2874451,0.11213728,0.30023932
283347695,0.31130555,0.10921168,0.29085076
283370647,0.33218345,0.10628608,0.2658147
283392680,0.34709623,0.10336048,0.24077857
283414666,0.36200902,0.100434884,0.2220015
283435690,0.3709567,0.100434884,0.20635393
